"data_resultado";"genero";"fx_etaria";"total";"total_acumulado"
2020-04-13;"Feminino";"35-39";30;211
2020-04-13;"Feminino";"40-44";20;131
2020-04-13;"Feminino";"45-49";14;90
2020-04-13;"Feminino";"5-9";5;16
2020-04-13;"Feminino";"50-54";21;95
2020-04-13;"Feminino";"55-59";10;70
2020-04-13;"Feminino";"60-64";5;50
2020-04-13;"Feminino";"65-69";2;25
2020-04-13;"Feminino";"70-74";3;18
2020-04-13;"Feminino";"75-79";5;16
2020-04-13;"Feminino";"80-84";1;21
2020-04-13;"Masculino";"0-4";8;57
2020-04-13;"Masculino";"10-14";1;8
2020-04-13;"Masculino";"20-24";10;75
2020-04-13;"Masculino";"25-29";11;96
2020-04-13;"Masculino";"30-34";11;122
2020-04-13;"Masculino";"35-39";11;121
2020-04-13;"Masculino";"40-44";13;106
2020-04-13;"Masculino";"45-49";5;57
2020-04-13;"Masculino";"5-9";1;24
2020-04-13;"Masculino";"50-54";5;51
2020-04-13;"Masculino";"55-59";11;61
2020-04-13;"Masculino";"60-64";4;42
2020-04-13;"Masculino";"65-69";5;24
2020-04-13;"Masculino";"70-74";1;21
2020-04-13;"Masculino";"75-79";7;24
2020-04-13;"Masculino";"80-84";2;16
2020-04-13;"Masculino";"85-89";2;9
2020-04-13;"Masculino";"90-94";2;6
2020-04-14;"Feminino";"0-4";4;37
2020-04-14;"Feminino";"10-14";2;20
2020-04-14;"Feminino";"15-19";2;30
2020-04-14;"Feminino";"20-24";3;138
2020-04-14;"Feminino";"25-29";18;178
2020-04-14;"Feminino";"30-34";25;257
2020-04-14;"Feminino";"35-39";25;236
2020-04-14;"Feminino";"40-44";14;145
2020-04-14;"Feminino";"45-49";7;97
2020-04-14;"Feminino";"50-54";11;106
2020-04-14;"Feminino";"55-59";5;75
2020-04-14;"Feminino";"60-64";3;53
2020-04-14;"Feminino";"65-69";2;27
2020-04-14;"Feminino";"75-79";1;17
2020-04-14;"Feminino";"80-84";1;22
2020-04-14;"Feminino";"85-89";2;12
2020-04-14;"Masculino";"0-4";5;62
2020-04-14;"Masculino";"15-19";2;29
2020-04-14;"Masculino";"20-24";5;80
2020-04-14;"Masculino";"25-29";12;108
2020-04-14;"Masculino";"30-34";11;133
2020-04-14;"Masculino";"35-39";18;139
2020-04-14;"Masculino";"40-44";6;112
2020-04-14;"Masculino";"45-49";10;67
2020-04-14;"Masculino";"5-9";3;27
2020-04-14;"Masculino";"50-54";11;62
2020-04-14;"Masculino";"55-59";5;66
2020-04-14;"Masculino";"60-64";3;45
2020-04-14;"Masculino";"65-69";1;25
2020-04-14;"Masculino";"70-74";1;22
2020-04-14;"Masculino";"75-79";1;25
2020-04-14;"Masculino";"80-84";1;17
2020-04-14;"Masculino";"85-89";1;10
2020-04-15;"Feminino";"0-4";1;38
2020-04-15;"Feminino";"25-29";2;180
2020-04-15;"Feminino";"30-34";6;263
2020-04-15;"Feminino";"35-39";4;240
2020-04-15;"Feminino";"40-44";4;149
2020-04-15;"Feminino";"45-49";5;102
2020-04-15;"Feminino";"50-54";1;107
2020-04-15;"Feminino";"55-59";1;76
2020-04-15;"Feminino";"75-79";1;18
2020-04-15;"Feminino";"80-84";1;23
2020-04-15;"Masculino";"0-4";2;64
2020-04-15;"Masculino";"15-19";2;31
2020-04-15;"Masculino";"20-24";2;82
2020-04-15;"Masculino";"25-29";1;109
2020-04-15;"Masculino";"30-34";3;136
2020-04-15;"Masculino";"35-39";5;144
2020-04-15;"Masculino";"40-44";3;115
2020-04-15;"Masculino";"45-49";3;70
2020-04-15;"Masculino";"5-9";1;28
2020-04-15;"Masculino";"50-54";2;64
2020-04-15;"Masculino";"55-59";2;68
2020-04-15;"Masculino";"60-64";2;47
2020-04-15;"Masculino";"65-69";1;26
2020-04-15;"Masculino";"75-79";1;26
2020-04-16;"Feminino";"0-4";3;41
2020-04-16;"Feminino";"15-19";4;34
2020-04-16;"Feminino";"20-24";8;146
2020-04-16;"Feminino";"25-29";11;191
2020-04-16;"Feminino";"30-34";10;273
2020-04-16;"Feminino";"35-39";11;251
2020-04-16;"Feminino";"40-44";13;162
2020-04-16;"Feminino";"45-49";7;109
2020-04-16;"Feminino";"5-9";1;17
2020-04-16;"Feminino";"50-54";9;116
2020-04-16;"Feminino";"55-59";5;81
2020-04-16;"Feminino";"60-64";4;57
2020-04-16;"Feminino";"65-69";1;28
2020-04-16;"Feminino";"70-74";6;24
2020-04-16;"Feminino";"75-79";3;21
2020-04-16;"Feminino";"80-84";1;24
2020-04-16;"Feminino";"85-89";1;13
2020-04-16;"Feminino";"90-94";2;13
