"data_resultado";"genero";"fx_etaria";"total";"total_acumulado"
2020-04-25;"Feminino";"40-44";4;40
2020-04-25;"Feminino";"50-54";2;33
2020-04-25;"Feminino";"55-59";3;27
2020-04-25;"Feminino";"60-64";1;17
2020-04-25;"Feminino";"65-69";1;14
2020-04-25;"Feminino";"70-74";1;10
2020-04-25;"Masculino";"15-19";1;4
2020-04-25;"Masculino";"25-29";2;29
2020-04-25;"Masculino";"30-34";3;38
2020-04-25;"Masculino";"35-39";2;61
2020-04-25;"Masculino";"40-44";6;43
2020-04-25;"Masculino";"45-49";1;43
2020-04-25;"Masculino";"55-59";1;24
2020-04-25;"Masculino";"60-64";3;26
2020-04-25;"Masculino";"65-69";2;19
2020-04-25;"Masculino";"80-84";1;6
2020-04-25;"Masculino";"85-89";1;7
2020-04-27;"Feminino";"25-29";1;32
2020-04-27;"Feminino";"40-44";1;41
2020-04-27;"Feminino";"50-54";2;35
2020-04-27;"Feminino";"55-59";2;29
2020-04-27;"Feminino";"60-64";2;19
2020-04-27;"Masculino";"20-24";3;14
2020-04-27;"Masculino";"25-29";2;31
2020-04-27;"Masculino";"30-34";2;40
2020-04-27;"Masculino";"35-39";3;64
2020-04-27;"Masculino";"40-44";2;45
2020-04-27;"Masculino";"45-49";1;44
2020-04-27;"Masculino";"50-54";3;31
2020-04-27;"Masculino";"60-64";1;27
2020-04-27;"Masculino";"65-69";2;21
2020-04-28;"Feminino";"20-24";1;18
2020-04-28;"Feminino";"35-39";2;58
2020-04-28;"Feminino";"40-44";1;42
2020-04-28;"Feminino";"45-49";1;25
2020-04-28;"Feminino";"65-69";1;15
2020-04-28;"Masculino";"35-39";1;65
2020-04-28;"Masculino";"55-59";1;25
2020-04-29;"Feminino";"20-24";1;19
2020-04-29;"Feminino";"25-29";2;34
2020-04-29;"Feminino";"30-34";5;57
2020-04-29;"Feminino";"35-39";4;62
2020-04-29;"Feminino";"40-44";7;49
2020-04-29;"Feminino";"45-49";5;30
2020-04-29;"Feminino";"50-54";1;36
2020-04-29;"Feminino";"55-59";5;34
2020-04-29;"Feminino";"60-64";3;22
2020-04-29;"Feminino";"85-89";2;6
2020-04-29;"Masculino";"0-4";2;12
2020-04-29;"Masculino";"20-24";1;15
2020-04-29;"Masculino";"25-29";2;33
2020-04-29;"Masculino";"30-34";5;45
2020-04-29;"Masculino";"35-39";1;66
2020-04-29;"Masculino";"40-44";2;47
2020-04-29;"Masculino";"45-49";4;48
2020-04-29;"Masculino";"5-9";2;4
2020-04-29;"Masculino";"50-54";3;34
2020-04-29;"Masculino";"55-59";3;28
2020-04-29;"Masculino";"60-64";3;30
2020-04-29;"Masculino";"65-69";3;24
2020-04-29;"Masculino";"80-84";1;7
2020-04-30;"Feminino";"20-24";1;20
2020-04-30;"Feminino";"25-29";1;35
2020-04-30;"Feminino";"35-39";4;66
2020-04-30;"Feminino";"40-44";1;50
2020-04-30;"Feminino";"45-49";2;32
2020-04-30;"Feminino";"50-54";2;38
2020-04-30;"Feminino";"55-59";2;36
2020-04-30;"Feminino";"60-64";1;23
2020-04-30;"Masculino";"25-29";1;34
2020-04-30;"Masculino";"30-34";1;46
2020-04-30;"Masculino";"35-39";3;69
2020-04-30;"Masculino";"40-44";1;48
2020-04-30;"Masculino";"45-49";2;50
2020-04-30;"Masculino";"50-54";1;35
2020-04-30;"Masculino";"60-64";1;31
2020-04-30;"Masculino";"80-84";1;8
2020-05-01;"Feminino";"25-29";3;38
2020-05-01;"Feminino";"30-34";5;62
2020-05-01;"Feminino";"35-39";3;69
2020-05-01;"Feminino";"40-44";3;53
2020-05-01;"Feminino";"45-49";2;34
2020-05-01;"Feminino";"50-54";2;40
2020-05-01;"Feminino";"55-59";1;37
2020-05-01;"Feminino";"60-64";1;24
2020-05-01;"Feminino";"70-74";1;11
2020-05-01;"Feminino";"75-79";1;10
